排名,笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,笔记链接
20,不用再找了❗️,元宝家的,2025-11-02,3000-5000,15%-25%,25%-50%,￥0-1000,
21,会有人得了双相自己毫无察觉吗？,疗愈心灵的港湾,2025-09-08,3000-5000,0-5%,25%-50%,￥0-1000,
22,会有人得了焦虑症，自己不知道吗？,身心疗愈心理研究院,2025-10-07,3万-5万,5%-15%,25%-50%,￥0-1000,
23,看清依然深刻的那些“伤” 才是自愈的开始,元点测试,2025-10-01,5000-7000,5%-15%,25%-50%,￥0-1000,
24,4种恋爱人格类型自测，原来我是这样的💘,为你而测,2025-09-23,1万-3万,0-5%,25%-50%,￥0-1000,
25,疯狂想吃东西以为是馋呢，原来是焦虑躯体化,玺宁心理检测站,2025-09-19,1万-3万,0-5%,25%-50%,￥0-1000,
26,双相装不出来的,疗愈心灵的港湾,2025-10-18,3000-5000,5%-15%,25%-50%,￥0-1000,
27,怀疑自己有抑郁焦虑症，但不敢去医院怕尴尬,Apple身心疗愈研究室,2025-10-11,1000-3000,5%-15%,25%-50%,￥0-1000,
28,5分钟在线自测，抑郁焦虑程度,心理扫码站,2025-09-10,1000-3000,5%-15%,25%-50%,￥0-1000,
29,很好奇 原来真的有心理性别,心理成长研究所,2025-11-08,1000-3000,5%-15%,25%-50%,￥0-1000,
30,我和诡秘一个魔丸一个灵珠！,测测星海,2025-10-05,9000-1万,5%-15%,25%-50%,￥0-1000,
31,你的占有欲太弱了,元宝家的,2025-11-06,1万-3万,0-5%,25%-50%,￥0-1000,
32,别再怪遇不到对的人，可能是爱的能力没达标,心理探索指南,2025-11-02,1000-3000,5%-15%,25%-50%,￥0-1000,
33,26天津市考岗位表（含25年进面分数）,考公请上岸,2025-11-04,7000-9000,0-5%,25%-50%,￥0-1000,
34,24种人格力量VIA，谁测谁清醒🌈,元点测试,2025-09-21,1000-3000,5%-15%,25%-50%,￥0-1000,
35,MBTI+星座解码！你注定被年上还是年下征服？,xiaoxiao6今天也不想上班,2025-11-05,1000-3000,5%-15%,25%-50%,￥0-1000,
36,0.1🥕⌨️浮力｜极简键盘,春日野(自动发货),2025-10-10,1000-3000,5%-15%,25%-50%,￥0-1000,
37,年上年下测试｜你的隐藏恋爱倾向,xiaoxiao6今天也不想上班,2025-11-09,1万-3万,5%-15%,25%-50%,￥1000-5000,
38,-,Lucy心理疗愈,2025-11-12,3万-5万,0-5%,25%-50%,￥0-1000,
39,《咎由自取》又名：道德沦丧by困崽无删番全,小红薯6913113E,2025-10-22,1000-3000,5%-15%,25%-50%,￥0-1000,
40,焦虑到这种程度，说明你该看心理医生了,玺宁心理检测站,2025-08-28,3000-5000,0-5%,25%-50%,￥0-1000,
41,准到腿软！你骨子里锁死年上还是年下？,xiaoxiao6今天也不想上班,2025-11-11,9000-1万,5%-15%,25%-50%,￥0-1000,
42,没人觉得A选项很爽吗🙏,Ruby,2025-11-09,3000-5000,0-5%,25%-50%,￥0-1000,
43,我的动物塑是“狼”！,小叶,2025-11-09,1万-3万,0-5%,25%-50%,￥0-1000,
44,那些我以为离不开的 也不过如此,元宝家的,2025-11-08,1万-3万,0-5%,25%-50%,￥0-1000,
45,26腿姐8套卷,上岸稳学长,2025-10-18,1000-3000,25%-50%,25%-50%,￥0-1000,
46,《再塑生命的人》PPT,林礼均,2025-10-24,1000-3000,5%-15%,25%-50%,￥0-1000,
47,WPS超级会员1天体验卡！学生党速领,职场easy,2025-11-05,3000-5000,25%-50%,25%-50%,￥0-1000,
48,在线五分钟自测焦虑抑郁程度,心理扫码站,2025-08-29,3000-5000,5%-15%,25%-50%,￥0-1000,
49,26江苏省考岗位表汇总版（含近两年进面分）,考公请上岸,2025-11-04,1000-3000,0-5%,25%-50%,￥0-1000,
50,凡间小妖顶替我身份后杀疯了,轻轻茉莉,2025-11-13,3000-5000,0-5%,25%-50%,￥0-1000,
51,总在猜 “我是不是双相”？别再自我内耗了,心理解码屋,2025-08-26,1000-3000,5%-15%,25%-50%,￥0-1000,
52,《往事依依》PPT,林礼均,2025-10-12,1000-3000,5%-15%,25%-50%,￥0-1000,
53,真会有人原生家庭零伤痛值吗？反正我很痛,而研测试,2025-10-25,1万-3万,0-5%,25%-50%,￥0-1000,
54,天塌了！测黑暗人格测出个讨好型人格,测测星海,2025-08-26,3000-5000,5%-15%,25%-50%,￥0-1000,
55,我实在是没忍住｜动物塑,心理疗愈研究所测试,2025-11-11,10万以上,0-5%,25%-50%,￥0-1000,
56,如果世界是一片漆黑的森林，你选择成为?,菲儿---,2025-11-12,1万-3万,0-5%,25%-50%,￥0-1000,
57,2026山东省考公务员岗位表(16地市汇总版),山东人才引进,2025-11-05,3000-5000,5%-15%,25%-50%,￥0-1000,
58,《剧情之外的暖阳》,她,2025-11-07,5000-7000,0-5%,25%-50%,￥0-1000,
59,情绪不稳定到这种程度，还是看看心理医生吧,若愚心理观测站,2025-10-17,1万-3万,0-5%,25%-50%,￥0-1000,
60,如果世界是一片漆黑的森林，你选择成为？,小西情绪站,2025-11-07,10万以上,0-5%,25%-50%,￥0-1000,
61,mbti免费版测试，终于也是被我找到了！,性格解码铺,2025-09-21,1000-3000,15%-25%,25%-50%,￥0-1000,
62,浙江省考历年进面分数线及岗位表，选岗必备,公考智库,2025-09-17,3000-5000,5%-15%,25%-50%,￥0-1000,
63,-,心理测评实验室,2025-11-02,1000-3000,15%-25%,25%-50%,￥0-1000,
64,有adhd但成绩依然很好的原因,知了,2025-11-07,1万-3万,0-5%,25%-50%,￥0-1000,
65,《梅岭三章》课件,章鱼小丸子168,2025-09-13,1000-3000,5%-15%,25%-50%,￥0-1000,
66,以为正常，其实是抑郁症发作的表现,身心疗愈研究室,2025-10-01,3000-5000,0-5%,25%-50%,￥0-1000,
67,什么？对自由的精神需求度85%？！,得心应手。,2025-11-13,5000-7000,0-5%,25%-50%,￥0-1000,
68,-,离雨淬阁,2025-09-01,1000-3000,25%-50%,25%-50%,￥0-1000,
69,怀疑自己有焦虑/抑郁症的，都进来检查一下,若愚心理观测站,2025-09-01,9000-1万,5%-15%,25%-50%,￥0-1000,
70,ENFP天蝎测年上年下恋爱倾向，居然是这样,xiaoxiao6今天也不想上班,2025-11-04,1000-3000,5%-15%,25%-50%,￥0-1000,
71,-,元宝家的,2025-11-08,10万以上,0-5%,25%-50%,￥0-1000,
72,你不需要为母则刚‼️,若愚心理观测站,2025-08-27,3000-5000,5%-15%,25%-50%,￥0-1000,
73,双相情感障碍是装不出来的,疗愈心灵的港湾,2025-09-21,7000-9000,0-5%,25%-50%,￥0-1000,
74,原来这叫躯体化啊，我还以为是自己装的😅,心安小栈,2025-09-29,5000-7000,0-5%,25%-50%,￥0-1000,
75,哈利波特分院帽测试官网中文版来啦！,心域萤火,2025-10-09,1000-3000,5%-15%,25%-50%,￥0-1000,
76,《西江的船》复仇｜酸涩｜破镜重圆,柠檬dhd,2025-11-05,3000-5000,5%-15%,25%-50%,￥0-1000,
77,-,星星之火,2025-08-21,1000-3000,5%-15%,25%-50%,￥0-1000,
78,心里成熟是因为过早承担了很多责任,身心疗愈研究院whh,2025-11-09,3000-5000,5%-15%,25%-50%,￥0-1000,
79,怎么判断自己是真抑郁还是不开心？,心理扫码站,2025-08-30,1000-3000,5%-15%,25%-50%,￥0-1000,
80,囚婚五年：直到我死，他才懂我的苦衷,她,2025-11-12,3000-5000,0-5%,25%-50%,￥0-1000,
81,丈夫偏疼女知青后，我递上了离婚书,甜茶书库,2025-11-10,5000-7000,5%-15%,25%-50%,￥0-1000,
82,以为自己是爱读书🍂🍂,知了,2025-11-08,7000-9000,0-5%,25%-50%,￥0-1000,
83,有时候得了抑郁症，自己都不知道,身心疗愈心理研究院,2025-09-15,5000-7000,5%-15%,25%-50%,￥0-1000,
84,假千金她在地府暴富逆袭了,轻轻茉莉,2025-11-12,5000-7000,0-5%,25%-50%,￥0-1000,
85,一点就炸？不是脾气差，是情绪在求救,Apple身心疗愈研究室,2025-11-08,1000-3000,5%-15%,25%-50%,￥0-1000,
86,26考研政治苏一老师全程班保命班持续更新,100%上岸,2025-09-11,1000-3000,15%-25%,25%-50%,￥0-1000,
87,年上年下命运选择题：年上温柔 or 年下热烈？,xiaoxiao6今天也不想上班,2025-11-06,1000-3000,5%-15%,25%-50%,￥0-1000,
88,-,心理气象站,2025-10-16,1万-3万,0-5%,25%-50%,￥0-1000,
89,怎么知道自己有抑郁症或焦虑症？,coconut心理疗愈所,2025-08-30,1000-3000,5%-15%,25%-50%,￥0-1000,
90,SCL-90焦虑抑郁测试，现在现场出结果,Lullaby心理疗愈,2025-10-02,5000-7000,15%-25%,25%-50%,￥0-1000,
91,救命！我的动物塑是只嘤嘤怪？！,派派大星心理成长,2025-11-10,1万-3万,0-5%,25%-50%,￥0-1000,
92,看心理医生挂什么科？大概要花多少钱？,一令_心理（不私聊）,2025-09-30,7000-9000,0-5%,25%-50%,￥0-1000,
93,“看好了”,棕色小店,2025-11-09,3000-5000,0-5%,25%-50%,￥0-1000,
94,MBTI官网大升级💥你是典型的双后缀人格吗,天才小咪,2025-11-05,1000-3000,5%-15%,25%-50%,￥0-1000,
95,过度换气呼吸性碱中毒是焦虑躯体化吗？,多兰.心理测评,2025-09-04,5000-7000,0-5%,25%-50%,￥0-1000,
96,动不动就想哭，是抑郁了吗？,心理扫码站,2025-10-15,5000-7000,5%-15%,25%-50%,￥0-1000,
97,我珍惜你的方式错了吗,元宝家的,2025-11-02,10万以上,0-5%,25%-50%,￥0-1000,
98,可实操版看心理医生详细流程｜抑郁焦虑,多兰.心理测评,2025-08-30,1000-3000,0-5%,25%-50%,￥0-1000,
99,"总偏头疼以为没休息好,原来是躯体化",玺宁心理检测站,2025-11-06,7000-9000,0-5%,25%-50%,￥0-1000,
100,-,农产品红薯批发,2025-11-01,3000-5000,25%-50%,25%-50%,￥0-1000,
101,你的现实困境，其实都写在精神需求里了,心境观测站,2025-11-07,5000-7000,5%-15%,25%-50%,￥0-1000,
102,✨ 考研党集合！政治提分密码找到了！ ✨,慧妍学姐,2025-10-07,1000-3000,15%-25%,25%-50%,￥0-1000,
103,荣格八维mbti心理测试麋鹿性偏好光遇测评,小金素材库,2025-09-28,1000-3000,5%-15%,25%-50%,￥0-1000,
104,北京定向选调20-25面试真题及答案，送资料,你要上岸啦（自动发货版）,2025-10-23,1000-3000,5%-15%,25%-50%,￥0-1000,
105,人格障碍诊断-测出我们的人格障碍面,心理交流站,2025-10-03,1000-3000,5%-15%,25%-50%,￥0-1000,
106,敏感到这种程度，说明你需要去看心理医生了,心理扫码站,2025-09-07,5000-7000,0-5%,25%-50%,￥0-1000,
107,以为变笨了，原来是 躯体化脑雾,身心疗愈心理研究院,2025-10-01,5000-7000,0-5%,25%-50%,￥0-1000,
108,头一抽一抽痛，原来是焦虑躯体化了,心理气象站,2025-10-11,5000-7000,0-5%,25%-50%,￥0-1000,
109,PDF文件一键转换word文档免费使用,职场easy,2025-11-05,1000-3000,15%-25%,25%-50%,￥0-1000,
110,抑郁症/焦虑症去看医生大概要花多少钱？,心理解码屋,2025-09-20,5000-7000,0-5%,25%-50%,￥0-1000,
111,《纪念白求恩》PPT,林礼均,2025-10-30,1000-3000,5%-15%,25%-50%,￥0-1000,
112,26山东省考岗位表汇总版（含近两年进面分）,考公请上岸,2025-11-05,3000-5000,5%-15%,25%-50%,￥0-1000,
113,《诫子书》PPT,林礼均,2025-10-26,1000-3000,5%-15%,25%-50%,￥1000-5000,
114,正常人装抑郁可以骗过医生吗？,若愚心理观测站,2025-08-23,9000-1万,5%-15%,25%-50%,￥0-1000,
115,INFJ表面佛系，实则占有欲拉满的纯爱恋爱脑！,Lucky心理测试研究所,2025-11-12,3000-5000,5%-15%,25%-50%,￥0-1000,
116,🔥动物塑测试 （苹果/安卓都能打开,Light心理疗愈屋,2025-11-07,3000-5000,5%-15%,25%-50%,￥0-1000,
117,人格障碍诊断（PDQ4+）,心理交流站,2025-10-04,5000-7000,5%-15%,25%-50%,￥0-1000,
118,别拖了，老天早已给你安排个合适的路,为你而测,2025-11-14,1000-3000,0-5%,25%-50%,￥0-1000,
119,你最不能容忍的背叛是什么？,拾夏日记,2025-11-11,10万以上,0-5%,25%-50%,￥0-1000,
120,26考研数学140+，必会默写的公式～,小瑾资料,2025-09-11,1000-3000,5%-15%,25%-50%,￥0-1000,
121,MBTI64型人格各字母含义,天才小咪,2025-11-07,5000-7000,0-5%,25%-50%,￥0-1000,
122,三十五岁那天我决定重新养自己一遍,困困猫,2025-11-12,3000-5000,5%-15%,25%-50%,￥0-1000,
123,警惕！经常心慌可能是长期焦虑的躯体化表现,心安小栈,2025-10-29,7000-9000,0-5%,25%-50%,￥0-1000,
124,🌟简历小白有救了！既实用又免费简历模板,瀚海素材店,2025-10-27,1万-3万,25%-50%,25%-50%,￥0-1000,
125,在家五分钟自测焦虑抑郁症,身心疗愈心理研究院,2025-09-09,9000-1万,15%-25%,25%-50%,￥0-1000,
126,好奇不同的mbti 会怎么选,收集一束晨光,2025-11-07,3000-5000,0-5%,25%-50%,￥0-1000,
127,考研数学一二三真题及答案解析1994-2025,离雨淬阁,2025-09-17,1000-3000,15%-25%,25%-50%,￥0-1000,
128,原来这叫解离感？我还以为是最近太累了😅,心安小栈,2025-10-22,7000-9000,0-5%,25%-50%,￥0-1000,
129,电脑or手机可制作的简历模板 | 3分钟搞定！,学姐阿妍-,2025-11-05,1万-3万,5%-15%,25%-50%,￥0-1000,
130,再强调一遍，这就是躯体化症状,心灵氧吧,2025-10-03,9000-1万,0-5%,25%-50%,￥0-1000,
131,自由一生是我全部的野心,阿喵的测试小岛,2025-11-09,1万-3万,0-5%,25%-50%,￥0-1000,
132,总是很想哭，是心理出问题了？,身心疗愈心理研究院,2025-10-25,5000-7000,0-5%,25%-50%,￥0-1000,
133,反骨恋爱基因｜测你该反年上or年下,xiaoxiao6今天也不想上班,2025-11-07,1万-3万,5%-15%,25%-50%,￥0-1000,
134,你✖️为母踏风尘他,我要吃蛋挞103,2025-09-28,7000-9000,0-5%,25%-50%,￥0-1000,
135,最近很火的人格测试,心灵探索星球,2025-10-10,1000-3000,5%-15%,25%-50%,￥0-1000,
136,再强调一遍，这就是躯体化症状,Apple身心疗愈研究室,2025-10-04,1万-3万,0-5%,25%-50%,￥0-1000,
137,26浙江省考岗位表汇总版（含近两年进面分）,考公请上岸,2025-11-04,1000-3000,0-5%,25%-50%,￥0-1000,
138,好朋友给我发了这个…,应答之镜,2025-11-05,7000-9000,0-5%,25%-50%,￥0-1000,
139,你以为正常，其实是躯体化的行为,春树wrc,2025-11-03,7万-10万,0-5%,25%-50%,￥0-1000,
140,HR揭秘：大厂HR最爱的简历模板长这样！,大学生求职简历模板,2025-09-05,7000-9000,5%-15%,25%-50%,￥0-1000,
141,江苏省考进面分+报名比+竞争比+岗位表,苏酥要上岸,2025-11-02,1000-3000,5%-15%,25%-50%,￥0-1000,
142,导：这才是我喜欢看的中期答辩PPT🥰,香草的百宝箱,2025-09-27,1000-3000,5%-15%,25%-50%,￥0-1000,
143,抑郁焦虑躯体化在线测试｜scl90国际量表,身心疗愈心理研究院,2025-10-26,1000-3000,15%-25%,25%-50%,￥0-1000,
144,灵魂拷问！你的基因选择了年上or年下？,xiaoxiao6今天也不想上班,2025-11-06,5000-7000,5%-15%,25%-50%,￥0-1000,
145,黑暗人格马基雅维利主义官网正版测试↓↓↓,愈见心灵,2025-10-21,1000-3000,15%-25%,25%-50%,￥0-1000,
146,每人都能再领一次的火车10元立减券,我要吃,2025-11-07,1000-3000,5%-15%,25%-50%,￥0-1000,
147,别再骂了抑郁躯体化根本装不出来,身心疗愈心理研究院,2025-09-30,5000-7000,0-5%,25%-50%,￥0-1000,
148,八维测试,心理能量站,2025-11-08,5万-7万,5%-15%,25%-50%,￥1000-5000,
149,云端匹配｜测你的年上or年下恋人,xiaoxiao6今天也不想上班,2025-11-08,3000-5000,5%-15%,25%-50%,￥0-1000,
150,-,心理气象站,2025-10-31,1万-3万,0-5%,25%-50%,￥0-1000,
151,有这种程度的内耗，建议去看看,身心疗愈研究室,2025-09-17,9000-1万,0-5%,25%-50%,￥0-1000,
152,你生理性喜欢的事，就是你的天赋,而研测试,2025-11-14,7000-9000,0-5%,25%-50%,￥0-1000,
153,有这种程度的内耗去看看心理医生了,身心疗愈心理研究院,2025-09-17,7000-9000,0-5%,25%-50%,￥0-1000,
154,-,如鱼得水。,2025-11-14,1万-3万,0-5%,25%-50%,￥0-1000,
155,当你变成他想要的乖孩子,羊圈里羊不咩,2025-10-09,7000-9000,0-5%,25%-50%,￥0-1000,
156,女将军新婚夜被副将挑衅反杀,轻轻茉莉,2025-11-11,1万-3万,0-5%,25%-50%,￥0-1000,
157,美人魔王落败后被偏执勇者囚禁了3️⃣,鱼梁浅,2025-10-28,1000-3000,5%-15%,25%-50%,￥0-1000,
158,手机/电脑可制作的简历，4分钟搞定❗️❗️,阿啾爱学习,2025-09-07,1万-3万,5%-15%,25%-50%,￥1000-5000,
159,以为是变笨了，原来是躯体化形成脑雾了,一令_心理（不私聊）,2025-10-01,3000-5000,0-5%,25%-50%,￥0-1000,
160,请焦虑症患者记住：这才是「不焦虑」的日常,心安小栈,2025-10-04,1万-3万,0-5%,25%-50%,￥0-1000,
161,怎么判断自己是真焦虑还是假焦虑？,Apple身心疗愈研究室,2025-09-22,1000-3000,5%-15%,25%-50%,￥0-1000,
162,你没有自己的生活吗，快滚,心理能量站,2025-11-02,1000-3000,5%-15%,25%-50%,￥0-1000,
163,线上自测焦虑/抑郁工具-SCL90国际标准量表,身心疗愈心理研究院,2025-10-18,1000-3000,5%-15%,25%-50%,￥0-1000,
164,和朋友测完动物塑就这么剪,菜菜的社交心法,2025-11-10,1万-3万,0-5%,25%-50%,￥0-1000,
165,哪一刻最让你有分手的感觉-爱情需求测试,小语的治愈星球,2025-11-09,1000-3000,5%-15%,25%-50%,￥0-1000,
166,很困却睡不着，胸闷心悸，原来是焦虑发作,心灵氧吧,2025-09-20,1万-3万,0-5%,25%-50%,￥0-1000,
167,怎么判断自己是真焦虑还是假焦虑？,coconut心理疗愈所,2025-08-20,1000-3000,5%-15%,25%-50%,￥0-1000,
168,男朋友的好兄弟怀疑你是抱有目的故意接近他,美味小小拉克丝,2025-11-07,1000-3000,5%-15%,25%-50%,￥0-1000,
169,你会选择什么？,拾壹日记,2025-11-11,3万-5万,0-5%,25%-50%,￥0-1000,
170,爱才是世界上最伟大的魔法🪄,心理交流站,2025-11-07,1万-3万,0-5%,25%-50%,￥0-1000,
171,🔥如果你有动物塑，你希望是什么（🍎/安卓可,Light心理疗愈屋,2025-11-09,7000-9000,5%-15%,25%-50%,￥0-1000,
172,会有人得了抑郁自己毫无觉察吗？,心理扫码站,2025-11-14,3000-5000,0-5%,25%-50%,￥0-1000,
173,因为小事儿就生气，情绪不稳定｜焦虑应激,多兰.心理测评,2025-09-16,5000-7000,0-5%,25%-50%,￥0-1000,
174,原来这是抑郁躯体化，我以为咖啡喝多了,身心疗愈心理研究院,2025-09-09,3000-5000,0-5%,25%-50%,￥0-1000,
175,别再找错了！2025MBTI官方题库测试在这里！,是鱼饼啦,2025-10-09,1万-3万,15%-25%,25%-50%,￥0-1000,
176,测完瞳孔地震！本天蝎ENFP竟被年上狠狠拿捏,xiaoxiao6今天也不想上班,2025-11-04,1万-3万,5%-15%,25%-50%,￥0-1000,
177,一直以为是合理的身体反应...,身心疗愈研究室,2025-09-15,1万-3万,0-5%,25%-50%,￥0-1000,
178,压抑和开放这一块,小暖心灵疗愈室,2025-11-10,10万以上,0-5%,25%-50%,￥0-1000,
179,抑郁症发作时的 文字好有感染力！！,心理疗愈站,2025-09-24,3000-5000,0-5%,25%-50%,￥0-1000,
180,一时分不清是夸人还是骂人,暖心拾星,2025-11-09,3000-5000,0-5%,25%-50%,￥0-1000,
181,英语六级历年真题1990-2025.06完整带解析版,小轩素材,2025-08-26,3000-5000,15%-25%,25%-50%,￥1000-5000,
182,infj绿老头的纯爱是极致温柔裹着占有欲,心理能量站,2025-11-09,1000-3000,5%-15%,25%-50%,￥0-1000,
183,终于找到了MBTI官网专业版测试！,是鱼饼啦,2025-11-04,1000-3000,5%-15%,25%-50%,￥0-1000,
184,199管综真题及答案解析（2009-2025）,离雨淬阁,2025-10-02,3000-5000,5%-15%,25%-50%,￥0-1000,
185,感觉自己像是ADHD的，可以自测下,知了,2025-10-30,1万-3万,0-5%,25%-50%,￥0-1000,
186,进面腾讯的简历，原来是这种风格❗️❗️❗️,嘉禾素材,2025-10-28,3000-5000,0-5%,25%-50%,￥0-1000,
187,一躺下就控制不住乱想，睡不着｜强迫焦虑,一令_心理（不私聊）,2025-10-07,7000-9000,0-5%,25%-50%,￥0-1000,
188,别等了，我不是来抢你的,她,2025-11-11,5000-7000,5%-15%,25%-50%,￥0-1000,
189,第一次感觉自己原来那么冷,元宝家的,2025-11-02,10万以上,0-5%,25%-50%,￥1000-5000,
190,3分钟测试你的动物塑!,菜菜的社交心法,2025-11-08,10万以上,0-5%,25%-50%,￥1000-5000,
191,第三届大学生职业规划大赛不会写那就抄‼️,欢欢老师,2025-11-06,3000-5000,5%-15%,25%-50%,￥0-1000,
192,-,心理气象站,2025-11-09,1万-3万,0-5%,25%-50%,￥0-1000,
193,原来 每一题都会令我沉思,菜菜的社交心法,2025-11-10,1万-3万,0-5%,25%-50%,￥0-1000,
194,原生家庭的那些伤，让把爱我的人往外推,元点测试,2025-11-08,1000-3000,5%-15%,25%-50%,￥0-1000,
195,PDQ-4+人格障碍筛查问卷线上专业版,心理交流站,2025-10-16,1000-3000,5%-15%,25%-50%,￥0-1000,
196,胸闷气短，老想深呼吸，原来是焦虑躯体化,一令_心理（不私聊）,2025-09-26,1万-3万,0-5%,25%-50%,￥0-1000,
197,原来这就是解离｜我以为自己会开挂呢🫣,心安小栈,2025-11-03,1万-3万,0-5%,25%-50%,￥0-1000,
198,和你们占有欲低的人没什么好讲的,元宝家的,2025-11-02,5万-7万,0-5%,25%-50%,￥0-1000,
199,能说吗…infp表示动物塑题做着很爽啊…,小金素材库,2025-11-06,1万-3万,0-5%,25%-50%,￥0-1000,
200,你们要的厚涂奶油笔刷procreate版它来了,咔咔罐zzzz,2025-08-23,1000-3000,5%-15%,25%-50%,￥0-1000,
