笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,笔记链接,内部 noteId
安卓和iPhone都能用的F1迈凯伦动态壁纸,凡wallpaper,2025-09-25,7万-10万,0-5%,5%-15%,￥0-1000,,
拯救一下勾线手抖的画画人！谁用谁喜欢！,一只绘画酱,2025-11-02,7万-10万,0-5%,5%-15%,￥1000-5000,,
你本该走哪条路， 天赋早已告诉了你！,心理交流站,2025-11-11,7万-10万,0-5%,15%-25%,￥0-1000,,
我们高喊无爱者自由…,心晴,2025-11-11,7万-10万,0-5%,50%-70%,￥0-1000,,
嘴硬人夫生气后只会闷声洗内裤,汪汪厨师长(看置顶),2025-10-31,7万-10万,0-5%,15%-25%,￥0-1000,,
限时只要0.99🥕,十七张张,2025-10-24,7万-10万,0-5%,15%-25%,￥0-1000,,
你该吃哪碗饭，老天其实早就安排好了,西西的奇思妙想,2025-11-08,7万-10万,5%-15%,15%-25%,￥0-1000,,
知乎盐选会员到底要降到什么程度。,COYOUR,2025-11-07,7万-10万,5%-15%,5%-15%,￥0-1000,,
明明没事却突然想哭，是抑郁了吗？,向日葵心理测试站,2025-10-21,7万-10万,0-5%,15%-25%,￥0-1000,,
内耗到这种程度，还是去看看心理医生吧,心理气象站,2025-11-04,7万-10万,0-5%,25%-50%,￥0-1000,,
不是 iPad海绵宝宝5毛 还有人没玩过[石化R],网瘾少女苏苏,2025-10-29,7万-10万,0-5%,15%-25%,￥1000-5000,,
你对周围人不耐烦的点，恰恰是你的天赋所在,西西的奇思妙想,2025-11-12,7万-10万,0-5%,25%-50%,￥0-1000,,
笑死，地狱来了个贪官🥲,Ruby,2025-10-20,7万-10万,0-5%,25%-50%,￥1000-5000,,
🔥心理压力测试｜压力是不是有些大了？,心理研究站,2025-11-12,7万-10万,0-5%,25%-50%,￥0-1000,,
就这画风还有人不心动吗 我不信‼️,网瘾少女苏苏,2025-10-23,7万-10万,5%-15%,15%-25%,￥1000-5000,,
得吃了,花花游戏分享,2025-11-02,7万-10万,0-5%,0-5%,￥0-1000,,
你以为正常，其实是躯体化的行为,春树wrc,2025-11-03,7万-10万,0-5%,25%-50%,￥0-1000,,
摆烂太久，天赋是会被收走的,西西的奇思妙想,2025-11-09,7万-10万,0-5%,15%-25%,￥0-1000,,
占有欲强且没有安全的哨兵丈夫发现你找了……,黑心芝麻,2025-11-01,7万-10万,0-5%,15%-25%,￥0-1000,,
班主任必备！课堂死气沉沉？一个游戏就破冰！,思思班主任,2025-11-06,7万-10万,0-5%,5%-15%,￥0-1000,,
我的古城现状be like：野金撑起一片天,花花游戏分享,2025-11-08,5万-7万,0-5%,5%-15%,￥0-1000,,
女生是不是抑郁症，看她的房间就知道了,心理气象站,2025-10-31,5万-7万,0-5%,25%-50%,￥0-1000,,
年终述职PPT，领导一眼看中的6大要点🤩,白羊职场PPT,2025-11-11,5万-7万,0-5%,0-5%,￥0-1000,,
课堂惩罚👍🏻👍🏻互动小游戏,初中教学资料铺（优质课）,2025-10-16,5万-7万,0-5%,15%-25%,￥0-1000,,
原来这是抑郁躯体化，一直以为是太累了,心理气象站,2025-10-28,5万-7万,0-5%,25%-50%,￥0-1000,,
和你们这些占有欲低的人说不清楚,元宝家的,2025-11-08,5万-7万,0-5%,25%-50%,￥0-1000,,
5分钟测试一下看看你有没有抑郁焦虑？,Lullaby心理疗愈,2025-10-04,5万-7万,0-5%,15%-25%,￥0-1000,,
人们往往对自己的天赋容易不屑一顾,西西的奇思妙想,2025-11-06,5万-7万,0-5%,15%-25%,￥0-1000,,
Dazz永久会员终于搞定啦！,晴子の胶片天空,2025-11-08,5万-7万,5%-15%,15%-25%,￥1000-5000,,
我远没有自己想象的那么善良！不想当乖乖女,自我探索之旅,2025-11-05,5万-7万,0-5%,25%-50%,￥0-1000,,
摆烂太久，天赋真的会被收走的,西西的奇思妙想,2025-11-08,5万-7万,0-5%,15%-25%,￥0-1000,,
原来 每一题都会令我沉思,菜菜的社交心法,2025-11-07,5万-7万,0-5%,25%-50%,￥0-1000,,
喜欢哪个版本的？,咔咔罐zzzz,2025-10-22,5万-7万,0-5%,15%-25%,￥1000-5000,,
原来这就是解离｜我一直以为自己幻想太丰富,心安小栈,2025-10-27,5万-7万,0-5%,25%-50%,￥0-1000,,
大家认为“抑郁”就是不开心？,meikong,2025-11-08,5万-7万,0-5%,15%-25%,￥0-1000,,
全国大学生职业生涯规划大赛成品｜成长赛道,小轩素材,2025-09-05,5万-7万,25%-50%,15%-25%,1万-5万,,
不是 5毛的海绵宝宝还不冲吗？,网瘾少女苏苏,2025-10-28,5万-7万,5%-15%,5%-15%,￥0-1000,,
不是缺细节，是缺价值观,OC资料局,2025-11-10,5万-7万,0-5%,25%-50%,￥0-1000,,
天生该吃哪碗饭？终究要闯哪条路？,西西的奇思妙想,2025-10-31,5万-7万,0-5%,15%-25%,￥0-1000,,
对别人不耐烦的点 就是你的天赋,而研测试,2025-11-05,5万-7万,0-5%,25%-50%,￥0-1000,,
老天爷真的会指引你该走哪条路,心理交流站,2025-11-10,5万-7万,0-5%,25%-50%,￥0-1000,,
别卷错方向了，老天爷一直在追着你喂饭呢,为你而测,2025-11-09,5万-7万,0-5%,25%-50%,￥0-1000,,
八维测试,心理能量站,2025-11-08,5万-7万,5%-15%,25%-50%,￥1000-5000,,
正式启动！四六级督学！,景欢Chimery,2025-10-27,5万-7万,5%-15%,5%-15%,1万-5万,,
一次性看懂 MBTI 字母含义,寻己,2025-10-28,5万-7万,0-5%,25%-50%,￥0-1000,,
当你亲耳听到他说永远不会喜欢你,我要吃蛋挞103,2025-11-02,5万-7万,0-5%,25%-50%,￥0-1000,,
关于我在古城捡了三个魔芋爽这件事,花花游戏分享,2025-10-19,5万-7万,0-5%,0-5%,￥0-1000,,
你该走哪条路，老天其实早就安排好了,西西的奇思妙想,2025-11-05,5万-7万,5%-15%,15%-25%,￥0-1000,,
收藏🎂生日就这样发朋友圈🎁没赞来打我,野生设计师黄小姐,2025-10-24,5万-7万,0-5%,5%-15%,￥1000-5000,,
肖8一出，考研人集体原地发疯🤯,依欣官官,2025-11-04,5万-7万,0-5%,5%-15%,￥1000-5000,,
不开玩笑 有iPad的妹子都去玩这个！！[赞R],网瘾少女苏苏,2025-10-31,5万-7万,0-5%,15%-25%,￥0-1000,,
压抑和开放这一块/,小暖心灵疗愈室,2025-11-05,5万-7万,0-5%,25%-50%,￥0-1000,,
最近爆火的Feather 3D画立体图也太爽了‼️,ipad软件库,2025-10-29,5万-7万,0-5%,5%-15%,￥1000-5000,,
边吃零食边刷常识4600，好悠闲🤭嘻嘻嘻嘻,岸口船夫,2025-11-07,5万-7万,5%-15%,5%-15%,￥1000-5000,,
申论从56到79，其实很简单,YY学姐资料库,2025-11-04,3万-5万,5%-15%,15%-25%,￥1000-5000,,
宝，别假装努力，要真的上岸,YY学姐资料库,2025-10-31,3万-5万,5%-15%,15%-25%,￥1000-5000,,
不要在烂局里硬撑，你的天赋根本不在这,西西的奇思妙想,2025-10-30,3万-5万,0-5%,15%-25%,￥0-1000,,
学生自习安静神器，教室瞬间鸦雀无声🔥,小邓老师的碎碎念,2025-10-13,3万-5万,0-5%,5%-15%,￥0-1000,,
你身上那股劲劲”的感觉其实就是你的天赋,心灵感应站,2025-11-11,3万-5万,0-5%,25%-50%,￥0-1000,,
高浓度p人终于能进入心流学习了（已专注8h）,瞌学家不焦虑,2025-10-17,3万-5万,0-5%,5%-15%,5000-1万,,
《半熟老公》,兰迪猫,2025-11-05,3万-5万,0-5%,15%-25%,￥0-1000,,
拥有闲谈力是社会化程度高的体现,野生小薯条,2025-11-03,3万-5万,0-5%,5%-15%,￥1000-5000,,
你适合什么工作，老天爷早用天赋提醒过你了,为你而测,2025-11-11,3万-5万,0-5%,25%-50%,￥0-1000,,
为什么现在很多人都卸载掉知乎了,COYOUR,2025-11-04,3万-5万,0-5%,5%-15%,￥0-1000,,
原来每一道题都令我沉思,青葱鱼块,2025-11-07,3万-5万,0-5%,15%-25%,￥0-1000,,
瑞幸新皮肤！可爱到心都化了🐰☕️,心沁风阳,2025-11-13,3万-5万,5%-15%,5%-15%,￥0-1000,,
一直很好奇,COYOUR,2025-11-04,3万-5万,0-5%,5%-15%,￥0-1000,,
90年代爸妈的“婚前课”，那时候太敢拍！,豩豩豦豦333,2025-11-08,3万-5万,5%-15%,5%-15%,￥1000-5000,,
iOS26壁纸｜这壁纸好有感觉！！！,红薯出口SweetPotatoExport,2025-11-09,3万-5万,0-5%,5%-15%,￥0-1000,,
你会选择什么？,拾壹日记,2025-11-11,3万-5万,0-5%,25%-50%,￥0-1000,,
主角团里的貌美作精死遁后翻车了,青菜大厨,2025-11-06,3万-5万,0-5%,5%-15%,￥0-1000,,
真羡慕有些人的天赋点正好踩在优绩主义上,心理交流站,2025-11-10,3万-5万,0-5%,25%-50%,￥0-1000,,
考公大忌：只刷题+看网课考不上的！,公考新情报站,2025-10-16,3万-5万,5%-15%,5%-15%,5000-1万,,
50对情侣只留3对！《新婚学校》招募太魔幻,小红薯6917404F,2025-11-05,3万-5万,5%-15%,5%-15%,￥1000-5000,,
我的心理年龄16岁，差了整整10岁🤔,为你而测,2025-10-18,3万-5万,0-5%,50%-70%,￥0-1000,,
目标80以下，先把模板套明白！,学海无涯资料,2025-11-03,3万-5万,5%-15%,15%-25%,5000-1万,,
董宇辉英语课程简单易懂,小胡老师资料,2025-09-25,3万-5万,0-5%,0-5%,￥0-1000,,
巨累，但30天过四六级（刘晓燕网课整合版）,是嘟嘟嘟吖,2025-10-30,3万-5万,5%-15%,15%-25%,￥1000-5000,,
一个人的天赋往往是以缺点的形式表达出来,西西的奇思妙想,2025-11-13,3万-5万,0-5%,25%-50%,￥0-1000,,
猫儿这个有劲,给珍珠光明,2025-11-04,3万-5万,0-5%,15%-25%,￥1000-5000,,
☕️瑞幸咖啡！香到拼单疯抢谁懂？,心沁,2025-11-11,3万-5万,15%-25%,5%-15%,￥0-1000,,
原来老天爷真的会告诉你，你适合走哪条路,心理交流站,2025-11-14,3万-5万,0-5%,25%-50%,￥0-1000,,
修改前VS后：我的自习课管理仿佛开了挂！！,柒柒就是我,2025-11-06,3万-5万,0-5%,0-5%,￥0-1000,,
#人浮于爱 #人浮于爱台剧#邵雨薇 #杨祐宁#,風風影视铺,2025-11-08,3万-5万,0-5%,0-5%,￥0-1000,,
大学生职业生涯规划大赛模板不会写直接抄‼️,欢欢老师,2025-11-05,3万-5万,15%-25%,25%-50%,￥0-1000,,
"""纵然昨夜哭成狗，今天还是要做个小太阳""",丁香结宝藏小屋,2025-10-10,3万-5万,0-5%,15%-25%,￥0-1000,,
你身上的那股“劲劲”的感觉其实就是你的天赋,心理交流站,2025-11-13,3万-5万,0-5%,15%-25%,￥0-1000,,
很多人得了抑郁症自己毫无觉察#抑郁[话题]#,Apple身心疗愈研究室,2025-09-28,3万-5万,0-5%,15%-25%,￥0-1000,,
🌸终于等到了！小乔限定皮肤今日返场,王者小铺,2025-10-27,3万-5万,5%-15%,5%-15%,￥1000-5000,,
石麻麻的冲刺20篇我有啦！,数据小丸子,2025-11-09,3万-5万,5%-15%,15%-25%,￥1000-5000,,
25下教资面试，无非就这22页，抓紧背,梦恬恬吖,2025-10-09,3万-5万,5%-15%,5%-15%,￥1000-5000,,
全网爆火的X压抑测试和X压抑指数计算,xiaoxiao6今天也不想上班,2025-10-11,3万-5万,5%-15%,5%-15%,￥0-1000,,
细节越多，角色越假,OC资料局,2025-10-27,3万-5万,0-5%,5%-15%,￥0-1000,,
原来每一题都会令我沉思,sweety心理研究院,2025-11-12,3万-5万,0-5%,15%-25%,￥0-1000,,
我去😳，发现了新大陆......,知栀dpz,2025-10-18,3万-5万,5%-15%,5%-15%,￥1000-5000,,
窒息死亡❗️❗️胆小勿入❗️❗️法医现场,法医书籍,2025-11-01,3万-5万,5%-15%,5%-15%,￥1000-5000,,
第三届全国大学生职业规划大赛2000字模板,大猫素材基地,2025-10-28,3万-5万,15%-25%,15%-25%,5000-1万,,
哈哈哈哈笑不活了，这到底是哪一版动物塑！？,心理治愈bot,2025-11-09,3万-5万,0-5%,25%-50%,￥0-1000,,
原来我早就躯体化了，我以为是装的😂,心安小栈,2025-11-12,3万-5万,0-5%,25%-50%,￥0-1000,,
给总裁当三年舔🐶后,青菜大厨,2025-10-30,3万-5万,5%-15%,15%-25%,￥0-1000,,
救命，我居然把常识当爽文刷了一周嘻嘻嘻嘻,岸口船夫,2025-10-29,3万-5万,5%-15%,5%-15%,￥1000-5000,,
怎么判断自己是不是真的抑郁症/焦虑症？,心安小栈,2025-11-05,3万-5万,0-5%,25%-50%,￥0-1000,,
3分钟测的焦虑抑郁状态，专业，高效！,Lullaby心理疗愈,2025-10-05,3万-5万,0-5%,25%-50%,￥0-1000,,
国外最近很火的恋爱人格测试,阿喵的测试小岛,2025-10-25,3万-5万,5%-15%,25%-50%,￥0-1000,,
✨直接抄✨「成长赛道」大学生职业规划PPT模版,素材菌｜简历｜PPT,2025-10-22,3万-5万,5%-15%,15%-25%,￥1000-5000,,
3分钟测试目前的抑郁状态，真的很严重了！,Lullaby心理疗愈,2025-10-05,3万-5万,0-5%,15%-25%,￥0-1000,,
日常调戏男朋友 有点羞耻但好玩！！,今天吃什么,2025-09-18,3万-5万,5%-15%,5%-15%,￥0-1000,,
被偷走睡眠后我揭穿真相🕊已完结,七月,2025-11-09,3万-5万,0-5%,15%-25%,￥0-1000,,
麦当劳套餐！拼单快乐超顶饱🍟✨,心沁风阳,2025-11-01,3万-5万,25%-50%,0-5%,￥0-1000,,
会有人得了焦虑症，自己不知道吗？,身心疗愈心理研究院,2025-10-07,3万-5万,5%-15%,25%-50%,￥0-1000,,
重逢后他恨意滔天却控制不住给你当狗的本能,肯定发大财（无副作用版）,2025-09-17,3万-5万,0-5%,15%-25%,￥0-1000,,
选择娇气大小姐人设的你，却被系统投放到了,美味小小拉克丝,2025-10-30,3万-5万,0-5%,15%-25%,￥0-1000,,
当你不再粘着他，自卑聋哑哥哥红着眼哭了,华华正在努力中,2025-10-08,3万-5万,5%-15%,15%-25%,￥0-1000,,
摆烂别太久，天赋真的会被收回的,西西的奇思妙想,2025-11-12,3万-5万,0-5%,25%-50%,￥0-1000,,
很有可能是ADHD🍂🍂,知了,2025-11-09,3万-5万,0-5%,25%-50%,￥0-1000,,
恶劣却实在漂亮的少爷发现你的目光不再停留,年彻,2025-10-05,3万-5万,5%-15%,15%-25%,￥1000-5000,,
国考申论冲刺：一个月高效率积累大作文素材,是虫虫呀（带弟弟考公版）,2025-10-15,3万-5万,0-5%,5%-15%,￥0-1000,,
花生十三套卷打印出来了 开刷,我自己也可以点燃火炬（自动发货）,2025-10-01,3万-5万,5%-15%,5%-15%,￥1000-5000,,
给他一直想要的自由后，他反而慌了,荔枝炒香饭,2025-10-10,3万-5万,5%-15%,15%-25%,￥1000-5000,,
考研人要背完型词组啊啊啊,言玖姐,2025-10-27,3万-5万,0-5%,15%-25%,￥0-1000,,
怕死、伤害自己下不去手，是在装抑郁症吗？,一令_心理（不私聊）,2025-10-02,3万-5万,0-5%,25%-50%,￥0-1000,,
逆天！我成为故事中的大反派啦？！,奈斯兔游戏爱分享,2025-11-07,3万-5万,0-5%,5%-15%,￥1000-5000,,
怎么找到天生该吃的那碗饭？,西西的奇思妙想,2025-11-08,3万-5万,0-5%,15%-25%,￥0-1000,,
lovemo配置gemini 2.5 pro 06.05保姆级教程,api key 官转api,2025-10-17,3万-5万,5%-15%,5%-15%,￥1000-5000,,
🔥心理压力测试|看看最近压力有多大,身心疗愈心理 研究站,2025-11-09,3万-5万,0-5%,15%-25%,￥0-1000,,
你不会还在这样练控笔吧？？？？,插画师欲梦,2025-10-11,1万-3万,0-5%,5%-15%,￥0-1000,,
2025年12月刘晓艳四级写作纯背模板,过儿🍎🍎🍎,2025-10-11,1万-3万,5%-15%,15%-25%,￥0-1000,,
26考研政治张修齐十页纸已买!不加密🔥,研兮学姐鸭（上岸版）,2025-11-06,1万-3万,15%-25%,5%-15%,￥1000-5000,,
✨麦当劳拼套餐，快乐直接拉满！🍔,晴萌,2025-11-10,1万-3万,5%-15%,5%-15%,￥0-1000,,
天赋真的会消失,西西的奇思妙想,2025-11-05,1万-3万,0-5%,5%-15%,￥0-1000,,
腼腆的学生说下次再也不敢了，超有用哈哈哈,初中教学资料铺（优质课）,2025-11-01,1万-3万,0-5%,15%-25%,￥0-1000,,
天塌了家人们，心理年龄39😭,身心疗愈研究院whh,2025-11-03,1万-3万,5%-15%,15%-25%,￥0-1000,,
图书馆三十秒后你和他提了分手 他终于慌了,荔枝炒香饭,2025-10-25,1万-3万,5%-15%,15%-25%,￥1000-5000,,
测完瞳孔地震！本天蝎ENFP竟被年上狠狠拿捏,xiaoxiao6今天也不想上班,2025-11-04,1万-3万,5%-15%,25%-50%,￥0-1000,,
🔥心理压力测试｜你属于哪种心理压力？,身心研究站,2025-11-14,1万-3万,0-5%,25%-50%,￥0-1000,,
吐血整理！大学生职业生涯规划书模板在此🥰,欢欢老师,2025-10-27,1万-3万,5%-15%,25%-50%,￥0-1000,,
