笔记标题,账号昵称,发布时间,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,笔记链接,内部 noteId
别再怪遇不到对的人，可能是爱的能力没达标,心理探索指南,2025-11-02,1000-3000,5%-15%,25%-50%,￥0-1000,,
26天津市考岗位表（含25年进面分数）,考公请上岸,2025-11-04,7000-9000,0-5%,25%-50%,￥0-1000,,
24种人格力量VIA，谁测谁清醒🌈,元点测试,2025-09-21,1000-3000,5%-15%,25%-50%,￥0-1000,,
MBTI+星座解码！你注定被年上还是年下征服？,xiaoxiao6今天也不想上班,2025-11-05,1000-3000,5%-15%,25%-50%,￥0-1000,,
0.1🥕⌨️浮力｜极简键盘,春日野(自动发货),2025-10-10,1000-3000,5%-15%,25%-50%,￥0-1000,,
年上年下测试｜你的隐藏恋爱倾向,xiaoxiao6今天也不想上班,2025-11-09,1万-3万,5%-15%,25%-50%,￥1000-5000,,
《咎由自取》又名：道德沦丧by困崽无删番全,小红薯6913113E,2025-10-22,1000-3000,5%-15%,25%-50%,￥0-1000,,
焦虑到这种程度，说明你该看心理医生了,玺宁心理检测站,2025-08-28,3000-5000,0-5%,25%-50%,￥0-1000,,
准到腿软！你骨子里锁死年上还是年下？,xiaoxiao6今天也不想上班,2025-11-11,9000-1万,5%-15%,25%-50%,￥0-1000,,
没人觉得A选项很爽吗🙏,Ruby,2025-11-09,3000-5000,0-5%,25%-50%,￥0-1000,,
我的动物塑是“狼”！,小叶,2025-11-09,1万-3万,0-5%,25%-50%,￥0-1000,,
那些我以为离不开的 也不过如此,元宝家的,2025-11-08,1万-3万,0-5%,25%-50%,￥0-1000,,
26腿姐8套卷,上岸稳学长,2025-10-18,1000-3000,25%-50%,25%-50%,￥0-1000,,
《再塑生命的人》PPT,林礼均,2025-10-24,1000-3000,5%-15%,25%-50%,￥0-1000,,
WPS超级会员1天体验卡！学生党速领,职场easy,2025-11-05,3000-5000,25%-50%,25%-50%,￥0-1000,,
在线五分钟自测焦虑抑郁程度,心理扫码站,2025-08-29,3000-5000,5%-15%,25%-50%,￥0-1000,,
26江苏省考岗位表汇总版（含近两年进面分）,考公请上岸,2025-11-04,1000-3000,0-5%,25%-50%,￥0-1000,,
凡间小妖顶替我身份后杀疯了,轻轻茉莉,2025-11-13,3000-5000,0-5%,25%-50%,￥0-1000,,
